function id,signature with docstring,function body
355,"def unorderable_list_difference(expected, actual, ignore_duplicate=False):
    """"""Same behavior as sorted_list_difference but
    for lists of unorderable items (like dicts).

    As it does a linear search per item (remove) it
    has O(n*n) performance.
    """"""","    missing = []
    unexpected = []
    while expected:
        item = expected.pop()
        try:
            actual.remove(item)
        except ValueError:
            missing.append(item)
        if ignore_duplicate:
            for lst in expected, actual:
                try:
                    while True:
                        lst.remove(item)
                except ValueError:
                    pass
    if ignore_duplicate:
        while actual:
            item = actual.pop()
            unexpected.append(item)
            try:
                while True:
                    actual.remove(item)
            except ValueError:
                pass
        return missing, unexpected

    # anything left in actual is unexpected
    return missing, actual"
356,"    def iterremoveditems(self):
        """"""
        Returns an iterator over (filename, (state, mode, size, mtime)) for
        files that have been marked as removed.
        """"""","        return treedirstatemapiterator(self._rmap, removed=True)"
357,"def _changesrange(fctx1, fctx2, linerange2, diffopts):
    """"""Return `(diffinrange, linerange1)` where `diffinrange` is True
    if diff from fctx2 to fctx1 has changes in linerange2 and
    `linerange1` is the new line range for fctx1.
    """"""","    blocks = mdiff.allblocks(fctx1.data(), fctx2.data(), diffopts)
    filteredblocks, linerange1 = mdiff.blocksinrange(blocks, linerange2)
    diffinrange = any(stype == ""!"" for _, stype in filteredblocks)
    return diffinrange, linerange1"
358,"def _buildfuncargs(exp, context, curmethods, funcname, argspec):
    """"""Compile parsed tree of function arguments into list or dict of
    (func, data) pairs

    >>> context = engine(lambda t: (runsymbol, t))
    >>> def fargs(expr, argspec):
    ...     x = _parseexpr(expr)
    ...     n = getsymbol(x[1])
    ...     return _buildfuncargs(x[2], context, exprmethods, n, argspec)
    >>> list(fargs('a(l=1, k=2)', 'k l m').keys())
    ['l', 'k']
    >>> args = fargs('a(opts=1, k=2)', '**opts')
    >>> list(args.keys()), list(args['opts'].keys())
    (['opts'], ['opts', 'k'])
    """"""","
    def compiledict(xs):
        return util.sortdict(
            (k, compileexp(x, context, curmethods)) for k, x in pycompat.iteritems(xs)
        )

    def compilelist(xs):
        return [compileexp(x, context, curmethods) for x in xs]

    if not argspec:
        # filter or function with no argspec: return list of positional args
        return compilelist(getlist(exp))

    # function with argspec: return dict of named args
    _poskeys, varkey, _keys, optkey = argspec = parser.splitargspec(argspec)
    treeargs = parser.buildargsdict(
        getlist(exp), funcname, argspec, keyvaluenode=""keyvalue"", keynode=""symbol""
    )
    compargs = util.sortdict()
    if varkey:
        compargs[varkey] = compilelist(treeargs.pop(varkey))
    if optkey:
        compargs[optkey] = compiledict(treeargs.pop(optkey))
    compargs.update(compiledict(treeargs))
    return compargs"
359,"    def set_strict_kwargs_checking(self, enable: bool) -> None:
        """"""
        Toggles strict kwargs checking. If enabled, a ValueError is thrown if any
        unused parameters are passed to a PathHandler function. If disabled, only
        a warning is given.

        With a centralized file API, there's a tradeoff of convenience and
        correctness delegating arguments to the proper I/O layers. An underlying
        `PathHandler` may support custom arguments which should not be statically
        exposed on the `PathManager` function. For example, a custom `HTTPURLHandler`
        may want to expose a `cache_timeout` argument for `open()` which specifies
        how old a locally cached resource can be before it's refetched from the
        remote server. This argument would not make sense for a `NativePathHandler`.
        If strict kwargs checking is disabled, `cache_timeout` can be passed to
        `PathManager.open` which will forward the arguments to the underlying
        handler. By default, checking is enabled since it is innately unsafe:
        multiple `PathHandler`s could reuse arguments with different semantic
        meanings or types.

        Args:
            enable (bool)
        """"""","        self._native_path_handler._strict_kwargs_check = enable
        for handler in self._path_handlers.values():
            handler._strict_kwargs_check = enable"
360,"    def save(self, dir_name: str, file_name: str):
        """"""
        Save appropriate files.

        :param dir_name:
            directory to save.
        :param file_name:
            file to save.
        """"""","        self.tokenizer.save_model(dir_name, file_name)"
361,"def forget(ui, repo, *pats, **opts):
    """"""stop tracking the specified files

    Mark the specified files so they will no longer be tracked
    after the next commit.

    Forget does not delete the files from the working copy. To delete
    the file from the working copy, see :prog:`remove`.

    Forget does not remove files from the repository history. The files
    will only be removed in the next commit and its descendants.

    To undo a forget before the next commit, see :prog:`add`.

    .. container:: verbose

      Examples:

      - forget newly-added binary files::

          @prog@ forget ""set:added() and binary()""

      - forget files that would be excluded by .gitignore::

          @prog@ forget ""set:gitignore()""

    Returns 0 on success.
    """"""","
    if not pats:
        raise error.Abort(_(""no files specified""))

    m = scmutil.match(repo[None], pats, opts)
    rejected = cmdutil.forget(ui, repo, m, prefix="""", explicitonly=False)[0]
    return rejected and 1 or 0"
362,"    def joinpath(self, *args):
        """"""Combine this path with one or several arguments, and return a
        new path representing either a subpath (if all arguments are relative
        paths) or a totally different path (if one of the arguments is
        anchored).
        """"""",        return self._make_child(args)
363,"    def width(self):
        """"""Return the total width of the operation.""""""","        if not self._tasks:
            return 0
        task = self._tasks[-1]
        if len(self._tasks) > 1:
            # scale up the overall width by the current task or preserve it if
            # no current width is known.
            return task[3] * (task[1] or 1)
        else:
            return task[1]"
364,"def currentworkspacewithusernamecheck(repo):
    """"""
    Returns the currently connected workspace, or None if the repo is not
    connected to a workspace and the flag if it requires username migration
    because the workspace name doesn't match the current username anymore.
    """"""","
    (current_workspace, locally_owned) = currentworkspacewithlocallyownedinfo(repo)
    migrationrequired = locally_owned and not current_workspace.startswith(
        userworkspaceprefix(repo.ui)
    )
    return (current_workspace, migrationrequired)"
365,"    def get_task_agent(self):
        """"""
        Not possible/well-defined in this setting.
        """"""",        return self.worlds[self.world_idx].get_task_agent()
366,"    def add_cmdline_args(
        cls, parser: ParlaiParser, partial_opt: Optional[Opt] = None
    ) -> ParlaiParser:
        """"""
        Override to add personality-override option.
        """"""","        TransresnetMultimodalModel.add_cmdline_args(parser, partial_opt=partial_opt)
        super().add_cmdline_args(parser, partial_opt=partial_opt)
        arg_group = parser.add_argument_group(""TransresnetMultimodal Arguments"")
        parser.add_argument(
            ""--personality-override"",
            type=str,
            default=None,
            help=""for use in other tasks where no personality ""
            ""is given. This will give the model a personality ""
            ""(whichever is specified)."",
        )
        parser.add_argument(
            ""--personalities-path"",
            type=str,
            default=None,
            help=""Path to personalities list"",
        )
        return arg_group"
367,"    def get_code_offset(self):
        """"""Get the code offset for this method.""""""",        return self.encoded_method.code_off
368,"    def hsh2rev(self, hsh):
        """"""convert hg hash to linelog revision. return None if not found.""""""",        return self._hsh2rev.get(hsh)
369,"    def test_compare_opts(self):
        """"""
        Compare opts by loading them with Opt.load().

        Will not compare the override field.
        """"""","
        with testing_utils.tempdir() as tmpdir:
            # Write test opts
            opt_dir = tmpdir
            opt_path_1 = os.path.join(opt_dir, '1.opt')
            opt_path_2 = os.path.join(opt_dir, '2.opt')
            with open(opt_path_1, 'w') as f1:
                json.dump(self.compare_opt_1, f1)
            with open(opt_path_2, 'w') as f2:
                json.dump(self.compare_opt_2, f2)

            # Compare opts
            output = compare_opts(opt_path_1=opt_path_1, opt_path_2=opt_path_2)
            desired_output = """"""
Args only found in opt 1:
key2: a

Args only found in opt 2:
key3: b

Args that are different in both opts:
key1:
\tIn opt 1: 0
\tIn opt 2: 1""""""
            self.assertEqual(output, desired_output)"
370,"def capture_output():
    """"""
    Suppress all logging output into a single buffer.

    Use as a context manager.

    >>> with capture_output() as output:
    ...     print('hello')
    >>> output.getvalue()
    'hello'
    """"""","    sio = io.StringIO()
    with contextlib.redirect_stdout(sio), contextlib.redirect_stderr(sio):
        yield sio"
371,"def get_rank():
    """"""
    Returns the rank of the current worker.

    Returns 0 if not in distributed.
    """"""","    if not is_distributed():
        return 0
    else:
        return dist.get_rank()"
372,"def get_output_dir(datasets, training=True):
    """"""Get the output directory determined by the current global config.""""""","    assert isinstance(datasets, tuple([tuple, list] + list(six.string_types))), \
        'datasets argument must be of type tuple, list or string'
    is_string = isinstance(datasets, six.string_types)
    dataset_name = datasets if is_string else ':'.join(datasets)
    tag = 'train' if training else 'test'
    # <output-dir>/<train|test>/<dataset-name>/<model-type>/
    outdir = osp.join(__C.OUTPUT_DIR, tag, dataset_name, __C.MODEL.TYPE)
    if not osp.exists(outdir):
        os.makedirs(outdir)
    return outdir"
373,"    def _recv_to_buffer_with_copy(self, num_bytes, buf):
        """"""
        Receives num_bytes from the nailgun socket and writes them into the specified buffer.
        """"""","        bytes_read = 0
        while bytes_read < num_bytes:
            recv_buf = self.transport.recv(num_bytes - bytes_read)
            if not len(recv_buf):
                raise NailgunException(
                    ""Server unexpectedly disconnected in recv()"",
                    NailgunException.CONNECTION_BROKEN,
                )
            buf[bytes_read : bytes_read + len(recv_buf)] = recv_buf
            bytes_read += len(recv_buf)"
374,"def wait_for_shutdown(
    pid: int, timeout: float, kill_timeout: float = DEFAULT_SIGKILL_TIMEOUT
) -> bool:
    """"""Wait for a process to exit.

    If it does not exit within `timeout` seconds kill it with SIGKILL.
    Returns True if the process exited on its own or False if it only exited
    after SIGKILL.

    Throws a ShutdownError if we failed to kill the process with SIGKILL
    (either because we failed to send the signal, or if the process still did
    not exit within kill_timeout seconds after sending SIGKILL).
    """"""","    # Wait until the process exits on its own.
    if wait_for_process_exit(pid, timeout):
        return True

    # client.shutdown() failed to terminate the process within the specified
    # timeout.  Take a more aggressive approach by sending SIGKILL.
    print_stderr(
        ""error: sent shutdown request, but edenfs did not exit ""
        ""within {} seconds. Attempting SIGKILL."",
        timeout,
    )
    sigkill_process(pid, timeout=kill_timeout)
    return False"
375,"def filter_images_with_few_keypoints(dataset_dicts, min_keypoints_per_image):
    """"""
    Filter out images with too few number of keypoints.

    Args:
        dataset_dicts (list[dict]): annotations in Detectron2 Dataset format.

    Returns:
        list[dict]: the same format as dataset_dicts, but filtered.
    """"""","    num_before = len(dataset_dicts)

    def visible_keypoints_in_image(dic):
        # Each keypoints field has the format [x1, y1, v1, ...], where v is visibility
        annotations = dic[""annotations""]
        return sum(
            (np.array(ann[""keypoints""][2::3]) > 0).sum()
            for ann in annotations
            if ""keypoints"" in ann
        )

    dataset_dicts = [
        x for x in dataset_dicts if visible_keypoints_in_image(x) >= min_keypoints_per_image
    ]
    num_after = len(dataset_dicts)
    logger = logging.getLogger(__name__)
    logger.info(
        ""Removed {} images with fewer than {} keypoints."".format(
            num_before - num_after, min_keypoints_per_image
        )
    )
    return dataset_dicts"
376,"def parsemeta(text):
    """"""return (metadatadict, metadatasize)""""""","    # text can be buffer, so we can't use .startswith or .index
    if bytes(text[:2]) != b""\1\n"":
        return None, None
    s = _mdre.search(text, 2).start()
    mtext = decodeutf8(text[2:s])
    meta = {}
    for l in mtext.splitlines():
        k, v = l.split("": "", 1)
        meta[k] = v
    return meta, (s + 2)"
377,"def mimeencode(
    ui,
    s: Union[List[email.message.Message], bytes, str],
    charsets=None,
    display: bool = False,
) -> email.message.Message:
    """"""creates mime text object, encodes it if needed, and sets
    charset and transfer-encoding accordingly.""""""","    cs = ""us-ascii""
    if not display:
        s, cs = _encode(ui, s, charsets)
    return mimetextqp(s, ""plain"", cs)"
378,"def foreground(repo, nodes):
    """"""Returns all nodes in the ""foreground"" of the given nodes.

    The foreground of a commit is the transitive closure of all descendants
    and successors of the commit.
    """"""","    unfi = repo
    nm = unfi.changelog.nodemap
    foreground = set(nodes)
    newnodes = set(nodes)
    while newnodes:
        newnodes.update(n for n in allsuccessors(repo, newnodes) if n in nm)
        newnodes.update(unfi.nodes(""%ln::"", newnodes))
        newnodes.difference_update(foreground)
        foreground.update(newnodes)
    return foreground"
379,"    def map(self, items, timeout=None):
        """"""Enqueues `items` into the queue""""""","        futures = map(self.submit, items)
        return [f.result(timeout) for f in futures]"
380,"    def reset(self):
        """"""
        Preparation for a new round of evaluation.
        Should be called before starting a round of evaluation.
        """"""",        pass
381,"def findblocks(text):
    """"""Find continuous blocks of lines in text.

    Returns a list of dictionaries representing the blocks. Each block
    has an 'indent' field and a 'lines' field.
    """"""","    blocks = []
    for b in _blockre.split(text.lstrip(""\n"").rstrip()):
        lines = b.splitlines()
        if lines:
            indent = min((len(l) - len(l.lstrip())) for l in lines)
            lines = [l[indent:] for l in lines]
            blocks.append({""indent"": indent, ""lines"": lines})
    return blocks"
382,"    def setup_data(self, datafile: str):
        """"""
        The core method which the user should override.

        Yields the data, one message at a time, as well as markers indicating
        new episodes.

        :param str datafile:
            If the initializer set a 'datafile' field within the initialization,
            this will be provided here. Otherwise, datafile will be the fold:
            either ""train"", ""valid"", or ""test"".

        :return:
            Yields pairs (message, new_episode) containing a Message object
            and whether the message marks the beginning of a totally new
            episode.
        """"""",        pass
383,"def ruleeditor(repo, ui, actions, editcomment=""""):
    """"""open an editor to edit rules

    rules are in the format [ [act, ctx], ...] like in state.rules
    """"""","    if repo.ui.configbool(""experimental"", ""histedit.autoverb""):
        newact = util.sortdict()
        for act in actions:
            ctx = repo[act.node]
            summary = _getsummary(ctx)
            fword = summary.split("" "", 1)[0].lower()
            added = False

            # if it doesn't end with the special character '!' just skip this
            if fword.endswith(""!""):
                fword = fword[:-1]
                if fword in primaryactions | secondaryactions | tertiaryactions:
                    act.verb = fword
                    # get the target summary
                    tsum = summary[len(fword) + 1 :].lstrip()
                    # safe but slow: reverse iterate over the actions so we
                    # don't clash on two commits having the same summary
                    for na, l in reversed(list(pycompat.iteritems(newact))):
                        actx = repo[na.node]
                        asum = _getsummary(actx)
                        if asum == tsum:
                            added = True
                            l.append(act)
                            break

            if not added:
                newact[act] = []

        # copy over and flatten the new list
        actions = []
        for na, l in pycompat.iteritems(newact):
            actions.append(na)
            actions += l

    rules = ""\n"".join([act.torule() for act in actions])
    rules += ""\n\n""
    rules += editcomment
    rules = ui.edit(
        rules,
        ui.username(),
        {""prefix"": ""histedit""},
        repopath=repo.path,
        action=""histedit"",
    )

    # Save edit rules in .hg/histedit-last-edit.txt in case
    # the user needs to ask for help after something
    # surprising happens.
    f = open(repo.localvfs.join(""histedit-last-edit.txt""), ""w"")
    f.write(rules)
    f.close()

    return rules"
384,"def gen_init_net_from_blobs(blobs, blobs_to_use=None, excluded_blobs=None):
    ''' Generate an initialization net based on a blob dict '''","    ret = caffe2_pb2.NetDef()
    if blobs_to_use is None:
        blobs_to_use = {x for x in blobs}
    else:
        blobs_to_use = copy.deepcopy(blobs_to_use)
    if excluded_blobs is not None:
        blobs_to_use = [x for x in blobs_to_use if x not in excluded_blobs]
    for name in blobs_to_use:
        blob = blobs[name]
        if isinstance(blob, str):
            print('Blob {} with type {} is not supported in generating init net,'
                  ' skipped.'.format(name, type(blob)))
            continue
        add_tensor(ret, name, blob)

    return ret"
385,"    def train_step(self, batch):
        """"""
        Null output.
        """"""",        return Output()
386,"def fix_incremental_state(
    generation_model: str, incremental_state: Dict[int, Any]
) -> Dict[int, Any]:
    """"""
    Fix incremental state. Essentially takes BART into account.

    :param generation_model:
        generation model
    :param incremental_state:
        incremental decoded state
    """"""","    if generation_model == 'bart':
        for incr_state_l in incremental_state.values():
            assert 'self_attn' in incr_state_l
            assert 'prev_mask' in incr_state_l['self_attn']
            self_attn_mask = incr_state_l['self_attn']['prev_mask']
            # check this is on the very first run with incremental state
            if self_attn_mask.ndim == 3 and tuple(self_attn_mask.shape[1:]) == (2, 2):
                # cut off the inappropriate incremental state
                incr_state_l['self_attn']['prev_mask'] = self_attn_mask[:, -1:, :]
    elif generation_model == 't5':
        # No current solution for t5 exists.
        incremental_state = {}

    return incremental_state"
387,"    def _processparam(self, name: str, value: ""Optional[str]"") -> None:
        """"""process a parameter, applying its effect if needed

        Parameter starting with a lower case letter are advisory and will be
        ignored when unknown.  Those starting with an upper case letter are
        mandatory and will this function will raise a KeyError when unknown.

        Note: no option are currently supported. Any input will be either
              ignored or failing.
        """"""","        if not name:
            raise ValueError(r""empty parameter name"")
        if name[0:1] not in pycompat.bytestr(string.ascii_letters):
            raise ValueError(r""non letter first character: %s"" % name)
        try:
            handler = b2streamparamsmap[name.lower()]
        except KeyError:
            if name[0:1].islower():
                indebug(self.ui, ""ignoring unknown parameter %s"" % name)
            else:
                raise error.BundleUnknownFeatureError(params=(name,))
        else:
            handler(self, name, value)"
388,"    def get_reasons(self) -> List[str]:
        """"""
        Return dataframe reasons.
        """"""",        return self.dataframe['reason'].values.tolist()
389,"    def test_rollout_no_archive(self, env_name, rollout_len):
        """"""Tests rollout_len steps (or until termination) of random policy.""""""","        env = gym.make(env_name, savedir=None)
        assert env.savedir is None
        assert env._stats_file is None
        assert env._stats_logger is None
        rollout_env(env, rollout_len)"
390,"    def inference_single_image(
        self,
        anchors: List[Boxes],
        box_cls: List[torch.Tensor],
        box_delta: List[torch.Tensor],
        image_size: Tuple[int, int],
    ):
        """"""
        Identical to :meth:`RetinaNet.inference_single_image.
        """"""","        pred = self._decode_multi_level_predictions(
            anchors,
            box_cls,
            box_delta,
            self.test_score_thresh,
            self.test_topk_candidates,
            image_size,
        )
        keep = batched_nms(
            pred.pred_boxes.tensor, pred.scores, pred.pred_classes, self.test_nms_thresh
        )
        return pred[keep[: self.max_detections_per_image]]"
391,"    def test_text_task(self):
        """"""
        Test that model correctly handles text task.

        Random chance is 10%, so this should be able to get much better than that very
        quickly.
        """"""","        args = Opt({**self.base_args, **self.text_args})
        valid, test = testing_utils.train_model(args)
        assert (
            valid['accuracy'] > 0.1
        ), f'ImagePolyencoderAgent val-set accuracy on a simple task was {valid[""accuracy""].value():0.2f}.'"
392,"def random_color(rgb=False, maximum=255):
    """"""
    Args:
        rgb (bool): whether to return RGB colors or BGR colors.
        maximum (int): either 255 or 1

    Returns:
        ndarray: a vector of 3 numbers
    """"""","    idx = np.random.randint(0, len(_COLORS))
    ret = _COLORS[idx] * maximum
    if not rgb:
        ret = ret[::-1]
    return ret"
393,"    def _run_user(self, fn, *args, **kwargs):
        """"""Run a user supplied function.

        Exceptions are processed by `_got_user_exception`.

        :return: Either whatever 'fn' returns or ``exception_caught`` if
            'fn' raised an exception.
        """"""","        try:
            return fn(*args, **kwargs)
        except KeyboardInterrupt:
            raise
        except:
            return self._got_user_exception(sys.exc_info())"
394,"    def get_frontend_args(self) -> Dict[str, Any]:
        """"""
        Specifies what options within a task_config should be forwarded to the client
        for use by the task's frontend.
        """"""","        return {
            ""task_description"": ""Placeholder Task Description - Javascript failed to load"",
            ""frame_height"": 650,
            ""num_subtasks"": self.args.blueprint.subtasks_per_unit,
            ""question"": self.args.blueprint.eval_question,
            ""block_mobile"": True,
            ""get_task_feedback"": False,  # TODO(#95) make option
            ""additional_task_description"": self.args.blueprint.additional_task_description,
        }"
395,"    def remove_tail(self, min_freq):
        """"""
        Remove elements below the frequency cutoff from the dictionary.
        """"""","        to_remove = []
        for token, freq in self.freq.items():
            if freq < min_freq:
                # queue up removals since can't mutate dict during iteration
                to_remove.append(token)

        for token in to_remove:
            del self.freq[token]
            idx = self.tok2ind.pop(token)
            del self.ind2tok[idx]"
396,"def load_passage_reader(
    ctx_file: str, return_dict: bool = True
) -> Union[Dict[str, Tuple[str, str]], List[Tuple[str, str, str]]]:
    """"""
    Load passages from file, corresponding to a FAISS index.

    We attempt to read the passages with a csv reader.

    If passage files are not saved correctly with a csv reader,
    reads can fail.

    :param ctxt_file:
        file to read

    :return reader:
        return a reader over the passages
    """"""","    logging.info(f'Reading data from: {ctx_file}')
    f_open = gzip.open if ctx_file.endswith("".gz"") else open
    try:
        passages = {} if return_dict else []
        with f_open(ctx_file) as tsvfile:
            _reader = csv.reader(tsvfile, delimiter='\t')  # type: ignore
            ids = []
            for idx, row in tqdm(enumerate(_reader)):
                if idx == 0:
                    assert row[0] == 'id'
                    ids.append(-1)
                elif idx <= 1:
                    ids.append(row[0])
                    if return_dict:
                        passages[row[0]] = (row[1], row[2])  # type: ignore
                    else:
                        passages.append((row[0], row[1], row[2]))  # type: ignore
                    continue
                else:
                    assert int(row[0]) == int(ids[idx - 1]) + 1, ""invalid load""
                    if return_dict:
                        passages[row[0]] = (row[1], row[2])  # type: ignore
                    else:
                        passages.append((row[0], row[1], row[2]))  # type: ignore
                    ids.append(row[0])

        del ids
    except (csv.Error, AssertionError) as e:
        passages = {} if return_dict else []
        logging.error(f'Exception: {e}')
        logging.warning('Error in loading csv; loading via readlines')
        with f_open(ctx_file) as tsvfile:
            for idx, l in tqdm(enumerate(tsvfile.readlines())):
                line = l.replace('\n', '').split('\t')  # type: ignore
                assert len(line) == 3
                if idx == 0:
                    assert line[0] == 'id'
                if line[0] != 'id':
                    if return_dict:
                        passages[line[0]] = (line[1], line[2])  # type: ignore
                    else:
                        passages.append((line[0], line[1], line[2]))  # type: ignore
    return passages"
397,"    def setup_episodes(self, fold):
        """"""
        Parses into TodStructuredEpisode.
        """"""","        domains = self.opt.get(""msre2e_domains"", DOMAINS)
        chunks = self._load_data(fold, domains)
        domains_cnt = Counter()
        episodes = []
        for utterances in chunks:
            if len(utterances) < 1:
                continue
            domain = utterances[0][""domain""]
            domains_cnt[domain] += 1
            idx = 0
            rounds = []
            goal_calls = []
            if len(utterances) > 0 and utterances[0][""speaker""] == ""agent"":
                idx, sys_utt, api_resp = self._get_utterance_and_api_call_for_speaker(
                    ""agent"", utterances, idx
                )
                r = tod.TodStructuredRound(
                    user_utt=tod.CONST_SILENCE,
                    api_resp_machine=api_resp,
                    sys_utt=sys_utt,
                )
                rounds.append(r)

            cum_api_call = {}
            while idx < len(utterances):
                idx, user_utt, api_call = self._get_utterance_and_api_call_for_speaker(
                    ""user"", utterances, idx
                )
                idx, sys_utt, api_resp = self._get_utterance_and_api_call_for_speaker(
                    ""agent"", utterances, idx
                )
                if not self.opt[""use_cumulative_api_calls""]:
                    r = tod.TodStructuredRound(
                        user_utt=user_utt,
                        api_call_machine=api_call,
                        api_resp_machine=api_resp,
                        sys_utt=sys_utt,
                    )
                else:
                    cum_api_call.update(api_call)
                    r = tod.TodStructuredRound(
                        user_utt=user_utt,
                        api_call_machine=copy.deepcopy(cum_api_call)
                        if len(api_resp) > 0
                        else {},
                        api_resp_machine=api_resp if len(api_resp) > 0 else {},
                        sys_utt=sys_utt,
                    )

                rounds.append(r)
                if len(api_call) > 0:
                    goal_calls.append(api_call)

            episode = tod.TodStructuredEpisode(
                domain=domain,
                api_schemas_machine=SLOT_NAMES[domain],
                goal_calls_machine=goal_calls,
                rounds=rounds,
                delex=self.opt.get(""delex"", False),
            )
            episodes.append(episode)
        return episodes"
398,"    def default_sizes(cls, scale):
        """"""Convert single scale parameter to a dict of arguments for build.""""""","        raise RuntimeError('Using ""scale"" is not supported for %s' %
                           cls.__name__)"
